Question,Answer
What is a solar flare plasmoid?,"Magnetic blob in reconnection, like cosmic bubbles! Carries flare energy."
What is a solar particle event energy deposition?,"Radiation dose in materials, like cosmic X-rays! Guides spacecraft shielding."
What is a solar flare footpoint?,"Loop-chromosphere hit, like cosmic runways! Hard X-ray, heating zone."
What is a solar particle event size?,"From flare/CME strength, like cosmic storms! Big ones hit whole system."
What is a solar flare Neupert effect?,"Soft/hard X-ray link, like cosmic clocks! Electrons heat flare plasma."
What is a CME-driven sheath particle acceleration?,"Sheath shocks boost SEPs, like cosmic cannons! Second peak post-flare."
What is a solar particle event west limb rule?,"W-limb flares hit Earth hard, like cosmic expressways! Best magnetic link."
What is a solar particle event ESP (energetic storm particle)?,"Shock-spiked SEPs near Earth, like cosmic boosters! Adds to flare particles."
What is a solar particle event GLE (Ground Level Enhancement)?,">500 MeV protons hit ground, like cosmic bullets! Rare, 3% of events."
What is a solar particle event seed population?,"Pre-accelerated particles, like cosmic kindling! Shocks boost to danger."
What is a solar flare trap-and-precipitate model?,"Electrons trapped, then hit chromosphere, like cosmic pinballs! Hard X-rays."
What is a solar particle event longitude dependence?,"W45Â°-W90Â° peaks flux, like cosmic highways! Earthâs field connection rules."
What is a solar particle event velocity dispersion?,"Fast particles lead, like cosmic sprinters! Times acceleration site."
What is a CME flux rope rotation?,"Twists en route, like cosmic spirals! Shifts Bz, tweaks storm strength."
What is a solar particle event spectral break?,"Flux drops at GeV, like cosmic ceilings! Shows max acceleration limit."
What is a solar flare X-ray classification?,"X/M/C, >10â»â´ W/mÂ² for X, like cosmic grades! X10 = 10x X1."
What is a CME cannibalism rate?,"10% at solar max, like cosmic mergers! Complex ejecta hit harder."
What is a solar particle event fluence spectrum?,"Dose vs energy, like cosmic scorecards! Guides satellite hardening."
What is a solar particle event path length?,"1.2-1.6 AU spirals, like cosmic detours! Scattering stretches path."
What is a solar particle event element enhancement?,"Heavy ions (O, Fe) spike, like cosmic recipes! Tags acceleration source."
What is a solar particle event decay time constant?,"Hours-days fade, like cosmic embers! Strong events linger longer."
What is a solar flare albedo effect?,"X-rays reflect off photosphere, like cosmic mirrors! Correct for true flux."
What is a solar particle event electron/proton ratio?,"Flare = high electrons, shocks = protons, like cosmic IDs! Shows source."
What is a solar particle event iron charge states?,"Fe+20 = flares, Fe+10-15 = shocks, like cosmic fingerprints! Tags origin."
What is a solar flare gamma-ray emission?,">300 MeV protons spark nuclear rays, like cosmic fireworks! Shows ion zaps."
What is a CME magnetic cloud identification?,"Smooth, rotating field, cool protons, like cosmic hurricanes! Confirms rope."
What is a solar particle event streaming instability?,"SEPs spawn waves, like cosmic brakes! Caps flux, shapes risk models."
What is a solar flare ribbon brightening rate?,"UV/EUV spread speed, like cosmic zippers! Ties to reconnection rate."
What is a CME shock geometry angle?,"Field-shock angle, like cosmic switches! Parallel shocks max SEPs."
What is a solar particle event dose rate?,"Sieverts/hour peak fast, like cosmic X-rays! Sets astronaut limits."
What is a solar flare nanoflare?,"Tiny bursts heat corona, like cosmic sparks! May solve heating puzzle."
What is a CME density jump at shock?,"Plasma spike at shock, like cosmic walls! Marks SEP acceleration zone."
What is a solar particle event 3He enhancement?,"Rare helium-3 spikes, like cosmic signatures! Wave resonance in flares."
What is a solar flare magnetic field strength?,"1000-4000 Gauss, like cosmic powerhouses! Stores flare energy."
What is a CME expansion speed?,"Cloud growth rate, like cosmic balloons! Shapes shock, SEP output."
What is a solar particle event pitch angle distribution?,"Early beams, later isotropic, like cosmic sprays! Shows scattering."
What is a CME impact velocity?,"300-2000 km/s at Earth, like cosmic punches! High speed = big compression."
What is a solar particle event solar cycle dependence?,"Max has more GLEs, like cosmic fireworks! Cycle 23: 16; 24: 1."
What is a solar flare white-light continuum?,"Visible glow in big flares, like cosmic spotlights! Deep heating signature."
What is a CME magnetic flux rope helicity?,"Left/right twists, like cosmic DNA! Sunspot motions set storm impact."
What is a solar particle event heavy ion hazard?,"Fe ions hit harder, like cosmic bullets! Key for Mars mission shields."
What is a CME-driven sheath duration?,"Hours of turbulent fields, like cosmic storms! First geomagnetic punch."
What is a solar particle event neutron monitor response?,">500 MeV proton secondaries, like cosmic echoes! Tracks old GLEs."
What is a CME loop-like core?,"Bright filament in coronagraphs, like cosmic cargo! Sets magnetic hit."
What is a solar particle event velocity filter effect?,"Fields pick speeds, like cosmic gates! Some SEPs miss Earth."
What is a solar flare current sheet instability?,"Tearing forms islands, like cosmic bubbles! Boosts particle zaps."
What is a solar particle event electron spectrum power-law?,"E^-Î´, Î´~3 flares, 2-8 shocks, like cosmic IDs! Tags mechanism."
What is a solar particle event precursor electrons?,"Fast electrons lead, like cosmic scouts! Early radiation warnings."
What is a solar flare magnetic breakout?,"Fields open via reconnection, like cosmic jailbreaks! Frees CMEs."
What is a CME shock quasi-perpendicular angle?,"Field near 90Â° to shock, like cosmic walls! Less SEP boost."
What is a solar particle event heliolongitude scan?,"W45Â°-W90Â° max SEPs, like cosmic highways! Maps Earth connection."
What is a CME mass measurement?,"10Â¹Â²-10Â¹Â³ kg via coronagraphs, like cosmic scales! More mass = big hit."
What is a solar particle event neutron monitor scaling?,"Counts to proton flux, like cosmic translators! Rebuilds old events."
What is a solar flare magnetic topology change?,"Fields rewire post-eruption, like cosmic rewiring! Alters wind flow."
What is a CME shock precursor upstream waves?,"Turbulence scatters SEPs, like cosmic rapids! Boosts high energies."
What is a solar particle event dose equivalent?,">1 Sv/hour peaks, like cosmic X-rays! Sets biological risk."
What is a solar flare particle trap-and-release?,"Electrons loop, then hit, like cosmic pinballs! Delays X-ray peaks."
What is a CME leg magnetic reconnection?,"Trailing fields snap, like cosmic cuts! Detaches rope from Sun."
What is a solar particle event intensity-time profile?,"Fast rise, slow fade, like cosmic curves! Shows connection strength."
What is a CME pileup region?,"Slow CMEs stack wind, like cosmic traffic! Stronger SEP shocks."
What is a solar particle event energy-dependent onset?,"High-energy lead, like cosmic sprinters! Maps acceleration distance."
What is a solar flare equivalent blackbody temperature?,"50M K in hot sources, like cosmic furnaces! Measures energy."
What is a CME deflection model?,"Magnetic drag shifts path, like cosmic curves! Explains Earth misses."
What is a solar particle event ionization states?,"Fe+20 flare, Fe+10-15 shock, like cosmic IDs! Tags origin."
What is a solar flare Neupert effect violation?,"X-ray mismatch, like cosmic puzzles! Hints new heating physics."
What is a CME-driven storm recovery phase?,"Field relaxes days post-hit, like cosmic cooldowns! Currents fade."
What is a solar particle event fluence model?,"Predicts mission dose, like cosmic planners! Uses cycle, event stats."
What is the solar radiative zone?,"Inner Sun where energy radiates, like cosmic highways! Stable below convection."
What is the solar tachocline?,"Shear layer below convection, like cosmic dynamos! Spins cycle fields."
What is the solar neutrino problem?,"Neutrino shortage solved, like cosmic puzzles! Flavor swaps en route."
What is the solar dynamo process?,"Rotation, convection twist fields, like cosmic engines! Drives sunspots."
What is the solar Babcock-Leighton model?,"Sunspot fields drift to poles, like cosmic conveyors! Seeds next cycle."
What is solar meridional circulation?,"Slow ~20 m/s poleward flow, like a cosmic conveyor! Moves magnetic flux to poles, shaping next cycleâs strength."
What is the solar conveyor belt?,"Plasma loops equator to pole, sinks, returns in ~40 years, like a cosmic treadmill! Carries magnetic fields."
What is solar supergranulation?,"~30,000 km convection cells, like cosmic tiles! Push fields to edges, form chromospheric network."
What is solar spicular jets?,"10,000 km plasma fountains, like cosmic geysers! Shoot up in 5-10 min, may feed corona."
What is solar coronal heating?,"Million-K corona mystery, like a cosmic oven! Nanoflares, waves may solve why itâs hotter than surface."
What is solar AlfvÃ©n wave?,"Magnetic ripples along fields, like cosmic strings! Carry energy to heat corona via dissipation."
What is solar nanoflare?,"Tiny billionth-scale bursts, like cosmic sparks! Millions daily may heat corona, says Parker."
What is solar transition region?,"Thin 10,000-to-1M K jump, like a cosmic thermostat! IRIS probes energy flow here."
What is solar moss?,"Spongy EUV glow at loop bases, like cosmic carpets! Marks hot footpoints in active regions."
What is solar prominence formation?,"Cool plasma in magnetic dips, like cosmic hammocks! Chromosphere evaporates, condenses in fields."
What is solar filament channel?,"Sheared magnetic highway, like cosmic tracks! Erupts when unstable, launching CMEs."
What is solar magnetic reconnection?,"Fields snap, reconnect, like cosmic sparks! Fuels flares, CMEs with heat, particle zaps."
What is solar Sweet-Parker reconnection?,"Slow current sheet model, like cosmic molasses! Too sluggish for flares, outdone by Petschek."
What is solar Petschek reconnection?,"Fast shock-driven model, like cosmic accelerators! Explains flareâs rapid energy burst."
What is solar plasmoid instability?,"Current sheets shred into islands, like cosmic bubbles! Speeds reconnection, drives explosions."
What is solar null point?,"Zero-field spot, like cosmic short circuits! Sparks jets, small flares via reconnection."
What is solar separator?,"Field line linking nulls, like cosmic wires! Hosts currents, energy for eruptions."
What is solar quasi-separatrix layer (QSL)?,"Sharp field change zones, like cosmic hot spots! Reconnection, currents without nulls."
What is solar magnetic breakout?,"Flux pushes fields, reconnects above, like cosmic jailbreaks! Frees CMEs to erupt."
What is solar tether-cutting?,"Low reconnection cuts tethers, like cosmic scissors! Sparks two-ribbon flares, CMEs."
What is solar kink instability?,"Twisted rope buckles, like cosmic springs! Erupts past 1.5 turns, launches CMEs."
What is solar sigmoid structure?,"S-shaped field, like cosmic slingshots! High-shear precursor to X-flares, CMEs."
What is solar free magnetic energy?,">10Â³Â² erg for X-flares, like cosmic batteries! Excess energy fuels eruptions."
What is solar vector magnetogram?,"Maps field strength, direction, like cosmic blueprints! Calculates energy, eruption odds."
What is solar light bridge?,"Bright umbra cross, like cosmic cracks! Weak fields let hot plasma up, may trigger flares."
What is solar Ellerman bomb?,"Tiny penumbra brightening, like cosmic firecrackers! Low reconnection releases microflare energy."
What is solar umbral dot?,"Bright umbra specks, like cosmic sparks! Convection breaks through strong fields."
What is solar penumbral microjet?,"Brief penumbra jets, like cosmic fountains! Reconnection hits transition region temps."
What is solar pore?,"Small dark spot, no penumbra, like cosmic seeds! Emerging flux, may grow or fade."
What is solar facula?,"Bright magnetic patches near spots, like cosmic glows! Boost solar irradiance."
What is solar granule?,"~1,000 km convection cells, like cosmic bubbles! Hot plasma rises, sinks in ~10 min."
What is solar mesogranule?,"5,000-10,000 km cells, like cosmic tiles! ~2-hour life, drag fields to boundaries."
What is solar network bright point?,"EUV sparks at supergranule edges, like cosmic embers! Quiet Sun reconnection sites."
What is solar coronal bright point?,"Small EUV/X-ray glows, like cosmic lanterns! Quiet Sun reconnection, lasts hours-days."
What is solar X-ray jet?,"Coronal plasma beam, like cosmic rockets! Reconnection in holes, active regions."
What is solar EUV wave?,"200-1,500 km/s coronal ripple, like cosmic tsunamis! Post-eruption, distinct from Moreton."
What is solar Moreton wave?,"500-1,500 km/s chromospheric shock, like cosmic arcs! Flare/CME triggers, dark in H-alpha."
What is solar sunquake?,"Flare seismic ripples, like cosmic quakes! Magnitude 11+, seen via helioseismology."
What is solar acoustic source?,"Flare wave trigger, like cosmic drums! Offset from X-ray peak, challenges energy models."
What is solar white-light flare?,"Rare visible burst, like cosmic spotlights! Deep photospheric heating, seen in 1859."
What is solar gamma-ray flare?,">10 MeV ion collisions, like cosmic fireworks! Fermi catches nuclear flare signals."
What is solar pion decay radiation?,"Gamma from >300 MeV proton pions, like cosmic zaps! Marks extreme acceleration."
What is solar neutron capture line?,"2.223 MeV gamma from neutron capture, like cosmic tags! Delayed flare signal."
What is solar positron annihilation line?,"511 keV gamma from positron-electron clash, like cosmic antimatter! Flare proof."
What is solar type III radio burst?,"Fast-drifting electron hums, like cosmic whistles! Falling tones from open fields."
What is solar type II radio burst?,"Slow-drifting CME shock hum, like cosmic sirens! Signals particle acceleration."
What is solar type IV radio burst?,"Long hum from trapped electrons, like cosmic embers! Disrupts comms for hours."
What is solar fiber burst?,"Wool-like radio drifts, like cosmic threads! Electron beams in shifting fields."
What is solar herringbone burst?,"Fishbone-like Type II spikes, like cosmic forks! Electrons zip both ways on shock."
What is solar radio spike?,"Millisecond reconnection bursts, like cosmic static! Tiny flare signals."
What is solar lace eruption?,"Filament shreds like torn lace, like cosmic chaos! Complex field destruction."
What is solar coronal wavefront?,"EUV waveâs leading edge, like cosmic ripples! Probes coronal fields, seismology."
What is solar blowout jet?,"Jet-to-mini-CME shift, like cosmic fireworks! Overlying fields collapse, erupt."
What is solar anemone jet?,"Multi-way sprays, like cosmic sea anemones! Reconnection with nearby fields."
What is solar whip jet?,"Whip-like EUV motion, like cosmic lassos! Snapping fields spark eruption."
What is solar FIP effect?,"Low-FIP elements enriched, like cosmic filters! Electromagnetic split in chromosphere."
What is solar S-web model?,"Wind escapes via field webs, like cosmic nets! Explains varied wind streams."
What is solar pseudostreamer?,"Quiet Sun arches, like cosmic breezes! Erupt as weak, slow CMEs."
What is solar streamer blowout?,"Helmet streamer erupts, like cosmic lightbulbs! Slow CMEs, dimming follows."
What is solar disconnection event?,"CME tail reconnects, like cosmic cuts! Frees plasma cloud to space."
What is solar CME flux rope?,"Twisted magnetic coil, like cosmic springs! Drives storms with stored energy."
What is solar CME cavity?,"Dark rope core, like cosmic voids! Wrapped in bright plasma shell."
What is solar CME core?,"Dense prominence in rope, like cosmic cargo! Glows bright in coronagraphs."
What is solar stealth CME?,"No surface signs, like cosmic ghosts! Sneaky eruptions hit Earth."
What is solar CME shadow?,"Low-density wake, like cosmic trails! Marks rope passage in wind."
What is solar electron-rich SEP event?,"Electron-heavy burst, like cosmic scouts! Points to flare acceleration."
What is solar 3He-rich SEP event?,"Helium-3 spikes, like cosmic signatures! Resonant waves in impulsive flares."
What is solar SEP anisotropy?,"Directional particle flow, like cosmic arrows! Shows Sun-Earth field links."
What is solar iron-rich SEP event?,"Iron spikes, like cosmic fingerprints! Tags flare-heated chromospheric source."
What is solar cycle 24?,"2008-2019 weak cycle, like a cosmic snooze! Low sunspots, quiet storms."
What is solar local helioseismology?,"Subsurface flow maps, like cosmic X-rays! Spots flux pre-sunspots."
What is solar magnetic helicity injection?,"Photospheric twists add curl, like cosmic springs! Signals eruption odds."
What is solar coronal loop oscillations?,"Waves post-flares, like cosmic strings! Gauge field strength, plasma."
What is solar coronal hole?,"Open field zone, like cosmic vents! Fast wind, recurrent storms."
What is solar Doppler imaging?,"Wavelength shifts map motions, like cosmic GPS! Tracks flares, CMEs."
What is solar spectropolarimetry?,"Polarization maps fields, like cosmic blueprints! Details all solar layers."
What is solar post-focus instrumentation?,"Spectrographs, cameras post-telescope, like cosmic labs! Multi-wavelength data."
What is solar H-alpha filter?,"Isolates 656.3 nm, like cosmic lenses! Sees flares, filaments in chromosphere."
What is solar Ca-K filter?,"393.4 nm glow, like cosmic spotlights! Maps network, plage regions."
What is solar Lyot filter?,"Monochromatic optic, like cosmic sieves! Key for flare, prominence views."
What is solar vector magnetograph?,"Maps field strength, direction, like cosmic compasses! Fuels flare forecasts."
What is solar radio interferometry?,"Antenna arrays, like cosmic ears! Images flare acceleration sites."
What is solar hard X-ray imaging?,"RHESSI maps high-energy flares, like cosmic X-rays! Shows electron zaps."
What is solar gamma-ray spectroscopy?,"Nuclear flare lines, like cosmic fingerprints! Reveals ion acceleration."
What is solar EUV irradiance monitoring?,"Tracks UV output, like cosmic gauges! Aids ionosphere, drag forecasts."
What is solar coronagraph design?,"Blocks photosphere, like cosmic sunglasses! LASCO tracks CMEs."
What is solar heliospheric imager?,"Wide-angle CME tracker, like cosmic cameras! STEREO/HI follows to Earth."
What is solar in situ plasma analyzer?,"Measures wind density, speed, like cosmic weather stations! Real-time forecasts."
What is solar energetic particle telescope?,"Detects flare/CME protons, like cosmic alarms! Warns astronauts of radiation."
What is solar neutron monitor?,"Counts GLE secondaries, like cosmic detectors! Flags extreme storms."
How do solar flares affect Earth?,"Auroras dazzle, but satellites fry, GPS wobbles, grids flicker, like cosmic chaos!"
What are X-class solar flares?,"Billion-megaton beasts, like cosmic nukes! X20+ risks global disruptions."
What is a coronal mass ejection (CME)?,"Billion-ton plasma cloud at millions mph, like cosmic tsunamis! Sparks storms."
How are CMEs different from solar flares?,"Flares flash radiation; CMEs hurl plasma, like cosmic light vs matter! Often paired."
What are solar energetic particles (SEPs)?,"Near-light-speed protons/electrons, like cosmic hail! Risk astronauts, tech."
What causes SEP events?,"Flare reconnection, CME shocks, like cosmic cannons! Strongest mix both."
How do solar flares create auroras?,"Particles excite Oâ, Nâ, like cosmic lightshows! Green/red oxygen, blue/purple nitrogen."
How do satellites protect against solar storms?,"Safe mode, hardened parts, like cosmic bunkers! Operators track alerts."
"What does ""Bz south"" mean in space weather?","Southward CME field, like cosmic keys! Unlocks magnetosphere for storms."
What is a solar prominence?,"Plasma loops on fields, like cosmic ribbons! Erupt as CMEs if unstable."
How hot is the Sun's corona?,"1MÂ°C+, like cosmic furnaces! Magnetic energy heats it, births CMEs."
What instruments observe solar activity?,"SDO, SOHO, Parker Probe, like cosmic cameras! Ground scopes track fields."
What is a G-scale in space weather?,"G1-G5 storm scale, like cosmic alerts! G5 risks grids, navigation."
Why are SEP events hard to predict?,"Chaotic fields, like cosmic mazes! Hard to model acceleration, transport."
How do solar particles affect the Moon?,"No shield, SEPs hit surface, like cosmic hail! Lunar bases need bunkers."
How do animals react to solar storms?,"Birds, whales lose magnetic sense, like cosmic vertigo! May stray."
Why do solar cycles vary in strength?,"Dynamo shifts, like cosmic gears! Cycle 25 stronger than 24."
What is the Bastille Day solar storm?,"2000 X5 flare, CME, like cosmic bombs! Zapped satellites, Texas auroras."
What are SOHO/LASCO images?,"Coronagraphs show CMEs, like cosmic blinds! Revolutionized forecasts since â95."
How do astronauts stay safe during SPEs?,"ISS shielded pods, like cosmic bunkers! Mars needs water, regolith walls."
What causes the 11-year solar cycle?,"Dynamo winds fields, like cosmic engines! Flips poles, resets activity."
How do solar storms affect ozone?,"SEPs cut 10-20% polar ozone, like cosmic bites! Recovers, less than CFCs."
Can we forecast solar storms like hurricanes?,"Yes, but Â±6-hour CME accuracy, like cosmic guesses! Flares, SEPs trickier."
What is Solar Orbiter?,"ESAâs pole viewer, like cosmic explorers! Maps cycles, storm patterns."
What are solar tornadoes?,"100,000Â°C plasma swirls, like cosmic spirals! Magnetic, not real tornadoes."
How do solar flares sound?,"Screams, crackles from plasma, like cosmic music! NASA sonifies for science."
Why study solar neutrinos?,"Map Sunâs core fusion, like cosmic X-rays! Proved models, found neutrino mass."
What is a solar eclipse's role?,"Reveals corona, like cosmic curtains! LASCO mimics for CME studies."
What is SWPC?,"NOAAâs Boulder storm center, like cosmic hurricane trackers! Alerts grids, satellites."
What was the Halloween solar storms?,"2003 X45 flare fest, like cosmic chaos! Zapped satellites, Texas auroras."
How do solar storms affect Mars?,"Strip atmosphere, like cosmic winds! MAVEN studies, bases need shelters."
What is a CIR?,"Fast/slow wind clash, like cosmic pile-ups! Recurrent storms, no flares."
What is nanoflare heating?,"Tiny flares heat corona, like cosmic sparks! Tough to see, solves mystery."
What is SOLARMAX?,"2025 cycle peak, like cosmic fireworks! More flares, CMEs, auroras."
What are solar gamma rays?,"Proton-crash flare rays, like cosmic fireworks! Fermi sees high energy."
What is a SEP spectrum?,"Energy spread, like cosmic scorecards! Hard spectra = high-risk particles."
What is a Forbush effect?,"CME blocks cosmic rays, like cosmic shields! Same as Forbush decrease."
What is a solar dynamo?,"Plasma spins fields, like cosmic engines! Drives cycles, pole flips."
What is coronal loop?,"Hot plasma arches, like cosmic bridges! Twisted ones spark flares."
What is a GLE alert?,"Neutron monitors flag >500 MeV protons, like cosmic alarms! Rare events."
What is a CME leg?,"Dense rope base, like cosmic anchors! May collapse or stretch out."
What is solar bz?,"North-south field, like cosmic keys! Southward opens storm gates."
What is a solar umbra?,"Dark spot core, 4500Â°C, like cosmic voids! Strong fields block convection."
What is a solar penumbra?,"Lighter spot edge, like cosmic halos! Horizontal fields, radial flows."
What is a light bridge?,"Umbra bright cross, like cosmic cracks! Weak fields, flare triggers."
What is post-flare loop arcade?,"Hot UV loops post-reconnection, like cosmic stitches! Glow hours."
What is a solar flare duration?,"Minutes-hours, like cosmic fireworks! Long ones tie to CMEs."
What is a confined flare?,"No CME, local blast, like cosmic firecrackers! Field traps energy."
What is an eruptive flare?,"CME-launching blast, like cosmic cannons! Opens fields, big impacts."
What is a solar flare gradual phase?,"Hours-long soft X-rays, like cosmic embers! Thermal energy fades."
What is Neupert effect?,"Hard/soft X-ray link, like cosmic clocks! Electrons drive heating."
What is a solar flare soft X-ray?,"10-20MÂ°C glow, like cosmic lanterns! GOES measures for classes."
What is a solar flare hard X-ray?,"Fast electron zaps, like cosmic bullets! Shows acceleration power."
What is a solar flare gamma-ray?,"Nuclear proton hits, like cosmic fireworks! 2.2 MeV, 0.511 MeV lines."
What is a solar white-light flare?,"Rare photospheric glow, like cosmic spotlights! Deep energy hit."
What is a solar flare EUV?,"1-10MÂ°C corona blast, like cosmic UV! Zaps Earthâs ionosphere."
What is a solar flare radio burst?,"Type III, II, IV, like cosmic static! Tracks electrons, shocks."
What is a solar microwave burst?,"Synchrotron electron hum, like cosmic radios! Maps flare zaps."
What is a solar proton event?,">10 MeV protons >10 pfu, like cosmic hail! NOAA alerts for storms."
What is a solar heavy ion event?,"Fe, He, O ions in SEPs, like cosmic bullets! Higher charge, more electronics damage than protons."
What is solar particle anisotropy?,"Early SEPs follow field lines, like cosmic arrows! Strongest flux along Sun-Earth spiral path."
What is solar particle transport?,"SEPs scatter in turbulent wind, like cosmic pinballs! Alters arrival times, energy spectra."
What is a CME leading edge?,"Bright coronagraph front, like cosmic plow! Compressed solar wind plasma pile-up."
What is a CME shock wave?,"Fast CMEâs AlfvÃ©n-busting boom, like cosmic cannons! Sparks SEPs, Type II radio bursts."
What is a CME flux rope twist?,"Magnetic turns per length, like cosmic springs! High twist = big eruption energy."
What is a CME mass?,"10^12-10^13 kg, like cosmic mountains! Coronagraph brightness gauges storm strength."
What is a CME kinetic energy?,"10^25 J, like 100,000 years of global power! Fuels massive geomagnetic storms."
What is a CME angular width?,"Halo CMEs span 360Â°, like cosmic rings! Width sets storm duration."
What is a stealth CME driver?,"Sneaky filament/flare, like cosmic ghosts! Hard-to-spot but Earth-hitting."
What is a CME-CME collision?,"Fast CME rams slow, like cosmic pile-ups! Boosts fields, particles, superstorms."
What is a CME magnetic reconnection?,"CME-wind field snap, like cosmic sparks! Reshapes structure, boosts particles."
What is a CME expansion?,"Balloon-like growth, like cosmic inflatables! Slows speed, widens impact zone."
What is a CME arrival time prediction?,"WSA-ENLIL models, ~6-hour accuracy, like cosmic clocks! Key for satellite ops."
What is a geomagnetic storm sudden commencement?,"CME shock spike in field, like cosmic alarms! Marks storm kickoff."
What is a geomagnetic storm main phase?,"Ring current builds, Dst drops, like cosmic punches! Plasma floods magnetotail."
What is a geomagnetic storm recovery phase?,"Ring current fades over days, like cosmic cooldowns! Dst normalizes."
What is proton precipitation?,"SEPs dive to poles, like cosmic hail! Sparks PCA, blacks out polar radio."
What is a radiation belt enhancement?,"SEPs boost Van Allen belts, like cosmic traps! Risks satellites for weeks."
What is a solar storm carrington-level?,"X40+ flare, 17-hr CME, like cosmic apocalypses! 1859 fried telegraphs."
What is a solar storm Halloween 2003?,"X45 flare, CMEs, like cosmic chaos! Florida auroras, satellite losses."
What is a solar storm Bastille Day 2000?,"X5 flare, CME, like cosmic bombs! Tumbled satellites, grid woes."
What is a solar storm March 1989?,"CME blacked out Quebec 9 hrs, like cosmic shocks! GICs fried transformers."
What is a solar storm August 1972?,"14.6-hr CME, like cosmic sprinters! Lethal radiation missed Apollo crews."
What is a solar storm May 1967?,"Radio burst jammed radar, like cosmic static! Nearly sparked nuclear crisis."
What is a solar storm February 1956?,"Biggest GLE, doubled radiation, like cosmic hail! Showed SEP intensity."
What is a solar storm September 1859?,"Carrington Event, like cosmic apocalypse! Telegraph fires, Caribbean auroras."
What is a solar storm July 2012?,"Carrington-class CME missed Earth, like cosmic close calls! Stereo-A caught it."
What is a solar storm December 2006?,"X9 flare, 10-min GPS glitch, like cosmic gremlins! Showed nav risks."
What is a solar storm January 2005?,"SEP storm forced ISS shelter, like cosmic bunkers! Polar flights rerouted."
What is a space weather scale?,"NOAAâs G1-G5, S1-S5, R1-R5, like cosmic alerts! G5/S5 = extreme chaos."
What is a space weather watch?,"1-3 day storm alert, like cosmic forecasts! Warns grids, satellite ops."
What is a space weather warning?,"Minutes-hour heads-up, like cosmic sirens! Signals flares, CME hits."
What is a space weather alert?,"Real-time flare, SEP, storm notice, like cosmic alarms! SWPC broadcasts."
What is GOES X-ray flux?,"0.1-0.8 nm flare measure, like cosmic thermometers! GOES sets flare classes."
What is ACE satellite?,"L1 wind monitor, like cosmic scouts! Gives 1-hour storm warnings."
What is DSCOVR?,"L1 wind watcher, like cosmic sentinels! Replaced ACE, 15-60 min alerts."
What is SOHO?,"CME tracker since â95, like cosmic veterans! LASCO coronagraphs lead forecasts."
What is STEREO?,"Twin 360Â° Sun viewers, like cosmic eyes! Track CMEs Sun to Earth."
What is Parker Solar Probe?,"Sun-toucher at 15M km, like cosmic daredevils! Probes wind origins."
What is IRIS?,"UV spectrograph, like cosmic lenses! Probes chromosphere, flare energy."
What is a riometer?,"Polar radio absorption gauge, like cosmic ears! Flags SEP ionization."
What is a solar telescope?,"DKIST, SST resolve 30km, like cosmic zooms! Study magnetic details."
What is DKIST?,"Worldâs largest solar scope, like cosmic microscopes! 30km magnetic maps."
What is space weather modeling?,"ENLIL, BATS-R-US simulate Sun-Earth, like cosmic crystal balls! Forecast storms."
What is F10.7 flux?,"10.7 cm coronal radio, like cosmic thermometers! Predicts ionosphere state."
What is a Maunder Minimum?,"1645-1715 low spots, like cosmic naps! Tied to Little Ice Age."
What is a co-rotating region?,"27-day rotating wind sources, like cosmic cycles! Cause mild storms."
What is a solar polar field?,"Weak pole fields flip at max, like cosmic switches! Predicts cycle strength."
What is a solar dynamo wave?,"22-year pole-to-equator field, like cosmic tides! Shapes butterfly pattern."
What is a solar tachocline?,"Shear layer dynamo, like cosmic engines! Births magnetic fields."
What is differential rotation?,"25-day equator, 35-day poles, like cosmic gears! Twists flare fields."
What is meridional flow?,"~20 m/s poleward flow, like cosmic conveyors! Sets cycle timing."
What is the solar chromosphere?,"20,000Â°C layer, like cosmic flames! Hosts flare ribbons, spicules."
What is solar seismology?,"Surface waves probe interior, like cosmic ultrasounds! Maps rotation."
What is a solar p-mode?,"Sound waves in Sun, like cosmic bells! Helioseismology maps interior."
What is a solar g-mode?,"Core gravity waves, like cosmic whispers! Hard-to-catch dynamo clues."
What is a solar neutrino?,"Core fusion particles, like cosmic messengers! Reach Earth in 8 min."
What is the solar abundance problem?,"Model vs observed elements, like cosmic puzzles! Impacts fusion theory."
What is a CME prediction?,"Filament, dimming clues, like cosmic hints! Complex physics limits accuracy."
What is a SEP prediction?,"Flare/CME-based models, like cosmic guesses! False alarms challenge spaceflight."
What is space weather nowcasting?,"Real-time flare, SEP, CME alerts, like cosmic news! Tracks ongoing chaos."
What is space weather impacts?,"Satellite zaps, grid failures, GPS errors, auroras, like cosmic chaos! Risks tech."
What is space weather mitigation?,"Hardened chips, grid blocks, like cosmic shields! Saves satellites, flights."
What is space weather research?,"Parker, Orbiter data, like cosmic labs! Boosts forecasts, protects tech."
What is the AlfvÃ©n surface?,"Wind meets AlfvÃ©n speed, like cosmic borders! Parker crossed in 2021."
What is switchback?,"S-shaped wind kinks, like cosmic zigzags! Parker found, heats wind."
What is the coronal heating problem?,"Coronaâs 300x hotter than surface, like cosmic ovens! Nanoflares, waves key."
What is resonant absorption?,"Wave-to-heat transfer in loops, like cosmic converters! Solves heating puzzle."
What is the solar Lyman-alpha line?,"121.6 nm UV, like cosmic spotlights! Shapes thermosphere chemistry."
What is a pseudo-streamer?,"Open field arches, like cosmic breezes! Slow CMEs, no helmet shape."
